Index,Fixture,Date,Promotion,Match type,Event,WON rating
5602,Ariya Daivari & Mike Kanellis vs. Flash Morgan Webster & Mark Andrews,04/04/2019,World Wrestling Entertainment,Tag Team,WWE Worlds Collide 2019: Cruiserweights Collide ,
5603,The Brian Kendrick vs. Tyler Bate,04/04/2019,World Wrestling Entertainment,Singles,WWE Worlds Collide 2019: Cruiserweights Collide ,
5604,Bianca Belair vs. Io Shirai vs. Kairi Sane vs. Shayna Baszler,04/05/2019,World Wrestling Entertainment,Fatal Four Way,WWE NXT TakeOver: New York ,***3/4
5605,Matt Riddle vs. Velveteen Dream,04/05/2019,World Wrestling Entertainment,Singles,WWE NXT TakeOver: New York ,****1/2
5606,Aleister Black & Ricochet vs. Hanson & Rowe,04/05/2019,World Wrestling Entertainment,Tag Team,WWE NXT TakeOver: New York ,****1/2
5607,Adam Cole vs. Johnny Gargano,04/05/2019,World Wrestling Entertainment,Best Two Out Of Three Falls,WWE NXT TakeOver: New York ,*****1/2
5608,Pete Dunne vs. WALTER,04/05/2019,World Wrestling Entertainment,Singles,WWE NXT TakeOver: New York ,****3/4
5609,Flash Morgan Webster & Mark Andrews vs. Trent Seven & Tyler Bate,04/06/2019,World Wrestling Entertainment,Tag Team,WWE NXT UK #39 ,
5610,Piper Niven vs. Reina Gonzalez,04/06/2019,World Wrestling Entertainment,Singles,WWE NXT UK #40 ,
5611,Jordan Devlin vs. WALTER,04/06/2019,World Wrestling Entertainment,Singles,WWE NXT UK #40 ,
5612,Bayley & Sasha Banks vs. Beth Phoenix & Natalya vs. Billie Kay & Peyton Royce vs. Nia Jax & Tamina,04/07/2019,World Wrestling Entertainment,Fatal Four Way Tag Team,WWE WrestleMania 35 ,*1/4
5613,Baron Corbin vs. Kurt Angle,04/07/2019,World Wrestling Entertainment,Singles,WWE WrestleMania 35 ,*
5614,Drew McIntyre vs. Roman Reigns,04/07/2019,World Wrestling Entertainment,Singles,WWE WrestleMania 35 ,**
5615,Asuka vs. Candice LeRae vs. Carmella vs. Dana Brooke vs. Ember Moon vs. Kairi Sane vs. Lana vs. Liv Morgan vs. Mandy Rose vs. Maria Kanellis vs. Mickie James vs. Naomi vs. Nikki Cross vs. Ruby Riott vs. Sarah Logan vs. Sonya Deville vs. Zelina Vega,04/07/2019,World Wrestling Entertainment,Battle Royal,WWE WrestleMania 35 Kickoff ,**1/4
5616,Curt Hawkins & Zack Ryder vs. Dash Wilder & Scott Dawson,04/07/2019,World Wrestling Entertainment,Tag Team,WWE WrestleMania 35 Kickoff ,***
5617,Aleister Black & Ricochet vs. Cesaro & Sheamus vs. Jey Uso & Jimmy Uso vs. Rusev & Shinsuke Nakamura,04/07/2019,World Wrestling Entertainment,Fatal Four Way Tag Team,WWE WrestleMania 35 ,***3/4
5618,Buddy Murphy vs. Tony Nese,04/07/2019,World Wrestling Entertainment,Singles,WWE WrestleMania 35 Kickoff ,***1/2
5619,Batista vs. Triple H,04/07/2019,World Wrestling Entertainment,No Holds Barred,WWE WrestleMania 35 ,**
5620,AJ Styles vs. Randy Orton,04/07/2019,World Wrestling Entertainment,Singles,WWE WrestleMania 35 ,***1/4
5621,Shane McMahon vs. The Miz,04/07/2019,World Wrestling Entertainment,Falls Count Anywhere,WWE WrestleMania 35 ,*3/4
5622,Becky Lynch vs. Charlotte Flair vs. Ronda Rousey,04/07/2019,World Wrestling Entertainment,Triple Threat,WWE WrestleMania 35 ,***
