Index,Fixture,Date,Promotion,Match type,Event
6403,Tetsuya Naito vs. Yujiro Takahashi,06/18/2011,New Japan Pro Wrestling,Singles,NJPW Dominion 6.18
6404,Lance Archer & Minoru Suzuki vs. Satoshi Kojima & Togi Makabe,06/18/2011,New Japan Pro Wrestling,Tag Team,NJPW Dominion 6.18
6405,Hirooki Goto vs. Hiroshi Tanahashi,06/18/2011,New Japan Pro Wrestling,Singles,NJPW Dominion 6.18
6406,Kota Ibushi vs. Prince Devitt,06/18/2011,New Japan Pro Wrestling,Singles,NJPW Dominion 6.18
6407,Davey Richards vs. Kota Ibushi,06/10/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 10
6408,Kota Ibushi vs. Ryusuke Taguchi,06/10/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 10
6409,Davey Richards vs. Koji Kanemoto,06/07/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 8
6410,KUSHIDA vs. Ryusuke Taguchi,06/07/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 8
6411,Fujita Hayato vs. TJP,06/07/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 8
6412,Kenny Omega vs. Prince Devitt,06/05/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 7
6413,Jushin Thunder Liger vs. TAKA Michinoku,06/04/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 6
6414,Fujita Hayato vs. Kenny Omega,06/02/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 4
6415,Hirooki Goto & Manabu Nakanishi vs. Hiroshi Tanahashi & Yuji Nagata,05/29/2011,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 3
6416,Kenny Omega vs. Taichi,05/26/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 1
6417,Daisuke Sasaki vs. KUSHIDA,05/26/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 1
6418,Tiger Mask vs. TJP,05/26/2011,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 1
6419,"Hiroyoshi Tenzan, Wataru Inoue & Yuji Nagata vs. Masato Tanaka, Tetsuya Naito & Yujiro Takahashi",05/26/2011,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior XVIII ~ Bring It On~ - Tag 1
